Zweden ,13.1
IJsland,13.8
Noorwegen,16
Denemarken,17
Finland,17
Luxemburg,17
Nederland,18.4
Portugal,18.6
Verenigd Koninkrijk,19.1
Malta,19.2
Slowakije,19.5
Zwitserland,20.4
Slovenië,20.5
België,20.5
Roemenië,20.5
Litouwen,21.8
Duitsland,21.9
Italië,22.1
EU28,22.8
Tjechië,22.9
Oostenrijk,23.2
Polen,23.8
Turkije,23.8
Spanje,23.9
Ierland,24
Frankrijk,24.1
Cyprus,25.9
Estland,26
Servië,26.2
Hongarije,26.5
Letland,27.9
Bulgarije,29.2
Montenegro,31
Kroatië,35
Griekenland,38.9
